"";"price";"room_type";"minimum_nights";"reviews_per_month";"neighbourhood_group";"neighbourhood";"within1km";"within5km"
"77";145;"Entire home/apt";5;0,9;"Brooklyn";"Clinton Hill";141;2137
"78";120;"Entire home/apt";7;0,08;"Manhattan";"East Village";322;2114
"79";400;"Entire home/apt";1;0,1;"Brooklyn";"Williamsburg";224;2543
"80";249;"Entire home/apt";2;1,82;"Manhattan";"Upper West Side";69;1352
"81";75;"Private room";1;5,38;"Queens";"Elmhurst";28;403
"82";140;"Entire home/apt";2;2,89;"Brooklyn";"Sunset Park";12;594
"83";75;"Private room";1;NA;"Brooklyn";"Bedford-Stuyvesant";146;2139
"84";80;"Entire home/apt";2;1,51;"Manhattan";"Harlem";97;768
"85";42;"Private room";30;0,86;"Queens";"Ridgewood";17;1030
"86";48;"Private room";2;0,03;"Brooklyn";"Williamsburg";258;2399
"87";135;"Entire home/apt";5;1,28;"Manhattan";"Harlem";108;766
"88";150;"Entire home/apt";3;2,78;"Brooklyn";"Bedford-Stuyvesant";139;1836
"89";35;"Private room";30;NA;"Brooklyn";"Bushwick";119;1460
"90";75;"Private room";3;0,09;"Brooklyn";"Williamsburg";208;2513
"91";99;"Entire home/apt";3;0,09;"Manhattan";"Harlem";102;785
"92";74;"Private room";1;5,42;"Brooklyn";"Boerum Hill";97;2042
"93";37;"Private room";1;NA;"Queens";"Astoria";34;1222
"94";118;"Entire home/apt";2;3,77;"Queens";"Ridgewood";98;1522
"95";79;"Private room";4;NA;"Brooklyn";"Williamsburg";219;2544
"96";159;"Entire home/apt";3;0,08;"Brooklyn";"Park Slope";98;1866
"97";47;"Private room";3;0,04;"Brooklyn";"Sunset Park";25;377
"98";250;"Entire home/apt";5;0,35;"Brooklyn";"Williamsburg";147;2491
"99";44;"Private room";30;0,03;"Manhattan";"East Harlem";114;956
"100";59;"Private room";30;0,38;"Queens";"Jackson Heights";22;325
"101";450;"Entire home/apt";1;NA;"Manhattan";"Hell's Kitchen";192;1587
"102";180;"Entire home/apt";1;NA;"Brooklyn";"Crown Heights";117;1691
"103";250;"Entire home/apt";1;NA;"Queens";"Jamaica";6;80
"104";175;"Entire home/apt";2;0,05;"Brooklyn";"Williamsburg";144;2206
"105";69;"Shared room";1;1;"Manhattan";"Hell's Kitchen";190;1521
"106";72;"Private room";2;0,11;"Manhattan";"SoHo";179;1826
"107";78;"Entire home/apt";2;0,03;"Queens";"Elmhurst";28;406
"108";69;"Entire home/apt";3;0,34;"Manhattan";"Harlem";134;722
"109";245;"Entire home/apt";3;1,61;"Manhattan";"Harlem";147;897
"110";85;"Private room";15;0,33;"Manhattan";"Washington Heights";32;315
"111";43;"Private room";1;3,65;"Brooklyn";"Bedford-Stuyvesant";46;1162
"112";165;"Entire home/apt";2;2,75;"Brooklyn";"Crown Heights";73;1559
"113";63;"Private room";2;1,15;"Queens";"Elmhurst";25;345
"114";165;"Entire home/apt";1;0,46;"Manhattan";"Nolita";265;2012
"115";100;"Entire home/apt";6;0,02;"Brooklyn";"Greenpoint";124;2317
"116";120;"Entire home/apt";10;0,91;"Manhattan";"Hell's Kitchen";157;1572
"117";200;"Entire home/apt";5;0,19;"Brooklyn";"Fort Greene";102;2118
"118";50;"Private room";1;8,02;"Queens";"St. Albans";2;88
"119";90;"Private room";1;0,84;"Manhattan";"Harlem";104;717
"120";72;"Private room";2;0,66;"Staten Island";"Tompkinsville";7;43
"121";100;"Entire home/apt";5;0,25;"Brooklyn";"Crown Heights";143;1798
"122";200;"Entire home/apt";4;0,07;"Brooklyn";"Prospect-Lefferts Gardens";84;1352
"123";180;"Entire home/apt";2;0,59;"Manhattan";"Upper East Side";113;1649
"124";200;"Private room";7;NA;"Brooklyn";"Greenpoint";108;2331
"125";40;"Private room";1;0,61;"Queens";"Fresh Meadows";7;90
"126";280;"Entire home/apt";10;0,14;"Brooklyn";"Williamsburg";176;2486
"127";185;"Entire home/apt";2;0,44;"Staten Island";"Prince's Bay";0;6
"128";125;"Private room";21;0,79;"Manhattan";"Flatiron District";167;1892
"129";137;"Entire home/apt";6;0,37;"Manhattan";"Upper West Side";63;1295
"130";70;"Private room";90;0,03;"Brooklyn";"Williamsburg";261;2294
"131";219;"Private room";1;NA;"Manhattan";"Lower East Side";290;2145
"132";299;"Private room";1;7,69;"Manhattan";"Theater District";229;1646
"133";250;"Entire home/apt";2;0,85;"Brooklyn";"Bedford-Stuyvesant";138;1592
"134";65;"Private room";2;0,44;"Brooklyn";"Flatbush";56;910
"135";56;"Private room";2;2,97;"Brooklyn";"Bushwick";164;1722
"136";125;"Private room";5;0,46;"Brooklyn";"Williamsburg";258;2549
"137";160;"Entire home/apt";1;NA;"Manhattan";"Gramercy";169;2080
"138";125;"Entire home/apt";30;0,14;"Manhattan";"Hell's Kitchen";208;1522
"139";95;"Entire home/apt";3;1,22;"Brooklyn";"Bedford-Stuyvesant";148;1887
"140";125;"Entire home/apt";2;1,02;"Manhattan";"Upper East Side";97;1480
"141";320;"Entire home/apt";3;NA;"Manhattan";"Chelsea";135;1662
"142";45;"Private room";1;1,37;"Queens";"St. Albans";5;68
"143";600;"Private room";1;NA;"Manhattan";"Stuyvesant Town";148;2208
"144";99;"Private room";1;NA;"Manhattan";"Harlem";133;753
"145";125;"Entire home/apt";4;0,36;"Brooklyn";"Bedford-Stuyvesant";161;1696
"146";130;"Entire home/apt";29;NA;"Manhattan";"Financial District";97;1617
"147";140;"Entire home/apt";3;1,09;"Brooklyn";"Kensington";37;726
"148";48;"Private room";14;0,62;"Manhattan";"Washington Heights";89;636
"149";79;"Private room";1;2,58;"Manhattan";"Upper East Side";109;1596
"150";60;"Private room";1;3,75;"Queens";"Astoria";62;755
"151";160;"Entire home/apt";4;0,75;"Brooklyn";"Bushwick";120;1453
"152";345;"Entire home/apt";6;NA;"Brooklyn";"Williamsburg";166;2509
"153";49;"Private room";1;2,14;"Queens";"East Elmhurst";12;320
"154";155;"Entire home/apt";30;NA;"Manhattan";"Chelsea";82;1503
"155";151;"Entire home/apt";2;NA;"Manhattan";"Harlem";107;661
"156";135;"Entire home/apt";2;5,19;"Brooklyn";"Sunset Park";16;514
"157";30;"Private room";1;2,01;"Queens";"Rego Park";15;257
"158";30;"Private room";14;0,08;"Queens";"Ridgewood";58;1278
"159";65;"Private room";31;NA;"Brooklyn";"Crown Heights";113;1756
"160";120;"Private room";2;NA;"Bronx";"Allerton";8;61
"161";68;"Private room";2;4,26;"Brooklyn";"Flatbush";48;770
"162";151;"Entire home/apt";28;0,3;"Brooklyn";"Boerum Hill";68;1964
"163";64;"Private room";2;0,57;"Brooklyn";"Prospect Heights";102;1772
"164";150;"Shared room";1;1,25;"Manhattan";"Midtown";108;2042
"165";70;"Entire home/apt";1;2,59;"Brooklyn";"Williamsburg";148;2199
"166";300;"Entire home/apt";30;0,05;"Manhattan";"Upper East Side";89;1377
"167";295;"Entire home/apt";5;NA;"Manhattan";"Lower East Side";290;2170
"168";90;"Private room";1;4,31;"Queens";"Ridgewood";108;1435
"169";52;"Private room";14;NA;"Brooklyn";"Bushwick";167;1613
"170";160;"Entire home/apt";3;0,18;"Brooklyn";"East New York";7;306
"171";75;"Private room";3;0,12;"Brooklyn";"Bushwick";147;1604
"172";60;"Private room";45;0,4;"Brooklyn";"Bedford-Stuyvesant";150;2129
"173";47;"Private room";1;14,58;"Queens";"Jamaica";7;57
"174";190;"Entire home/apt";2;0,77;"Brooklyn";"Clinton Hill";142;2140
"175";125;"Entire home/apt";2;4,43;"Brooklyn";"East New York";5;302
"176";145;"Entire home/apt";60;0,16;"Manhattan";"Harlem";156;913
"177";75;"Entire home/apt";15;NA;"Manhattan";"Morningside Heights";129;941
"178";560;"Entire home/apt";1;0,31;"Manhattan";"Washington Heights";87;622
"179";69;"Private room";1;0,04;"Brooklyn";"Brighton Beach";7;54
"180";90;"Private room";2;1,23;"Brooklyn";"Clinton Hill";136;2315
"181";60;"Private room";2;4,1;"Queens";"Ridgewood";96;1386
"182";150;"Private room";1;1,79;"Manhattan";"East Harlem";74;1268
"183";250;"Entire home/apt";1;1,23;"Brooklyn";"Williamsburg";167;2162
"184";59;"Private room";15;0,28;"Brooklyn";"Williamsburg";155;2104
"185";100;"Entire home/apt";2;2,81;"Staten Island";"Arrochar";5;23
"186";88;"Private room";1;0,15;"Manhattan";"Harlem";118;673
"187";185;"Entire home/apt";1;4,08;"Manhattan";"Hell's Kitchen";205;1551
"188";51;"Private room";3;NA;"Brooklyn";"Canarsie";7;196
"189";70;"Private room";7;0,08;"Brooklyn";"Bushwick";164;1693
"190";169;"Entire home/apt";2;1,92;"Brooklyn";"Bedford-Stuyvesant";149;1721
"191";50;"Private room";10;0,07;"Brooklyn";"Williamsburg";203;2550
"192";59;"Private room";1;2,91;"Queens";"Bayside";1;42
"193";85;"Private room";1;4,62;"Brooklyn";"Bushwick";150;1604
"194";150;"Entire home/apt";3;5,16;"Brooklyn";"Crown Heights";60;1557
"195";89;"Private room";3;0,42;"Brooklyn";"Greenpoint";205;2472
"196";80;"Private room";2;0,08;"Brooklyn";"Crown Heights";126;1809
"197";265;"Entire home/apt";3;3,53;"Manhattan";"East Harlem";101;1131
"198";150;"Shared room";3;1,17;"Manhattan";"Murray Hill";158;2077
"199";44;"Private room";3;1,78;"Brooklyn";"Flatbush";70;1042
"200";40;"Private room";1;0,35;"Queens";"Astoria";61;782
"201";65;"Private room";1;1;"Brooklyn";"Williamsburg";196;2153
"202";85;"Private room";5;0,85;"Bronx";"Morris Park";4;74
"203";55;"Private room";2;0,32;"Brooklyn";"Williamsburg";206;2158
"204";118;"Entire home/apt";3;0,09;"Queens";"Astoria";42;584
"205";60;"Private room";8;0,36;"Brooklyn";"Bushwick";142;1646
"206";85;"Entire home/apt";1;3,25;"Brooklyn";"Bedford-Stuyvesant";146;1710
"207";1800;"Entire home/apt";30;NA;"Brooklyn";"Bay Ridge";11;149
"208";75;"Private room";4;0,23;"Queens";"St. Albans";1;84
"209";95;"Private room";1;0,02;"Brooklyn";"Prospect-Lefferts Gardens";80;1278
"210";35;"Private room";14;0,28;"Brooklyn";"Bushwick";151;1548
"211";109;"Private room";3;0,09;"Manhattan";"East Village";304;2049
"212";50;"Private room";1;NA;"Brooklyn";"Crown Heights";96;1730
"213";87;"Entire home/apt";2;1,11;"Queens";"Glendale";18;1005
"214";589;"Entire home/apt";6;0,49;"Manhattan";"Upper East Side";110;1607
"215";99;"Entire home/apt";30;0,28;"Manhattan";"Upper East Side";126;1484
"216";73;"Private room";15;NA;"Manhattan";"Lower East Side";69;2163
"217";85;"Private room";3;1,6;"Manhattan";"Harlem";141;914
"218";130;"Entire home/apt";7;0,08;"Brooklyn";"Williamsburg";211;2263
"219";200;"Entire home/apt";30;0,11;"Manhattan";"Gramercy";201;2033
"220";175;"Entire home/apt";1;0,02;"Manhattan";"Midtown";175;2003
"221";100;"Private room";2;0,21;"Manhattan";"Harlem";156;974
"222";50;"Private room";7;1;"Brooklyn";"Bushwick";137;1559
"223";169;"Entire home/apt";7;0,41;"Manhattan";"Upper East Side";103;1679
"224";127;"Entire home/apt";5;1,74;"Manhattan";"Upper East Side";107;1484
"225";80;"Private room";2;2,09;"Brooklyn";"Bedford-Stuyvesant";155;1693
"226";97;"Entire home/apt";2;6,08;"Queens";"Queens Village";6;46
"227";35;"Shared room";30;NA;"Brooklyn";"Bushwick";152;2018
"228";121;"Entire home/apt";2;0,64;"Brooklyn";"Bensonhurst";2;149
"229";40;"Private room";1;3,46;"Brooklyn";"Bushwick";159;1790
"230";125;"Private room";1;1,01;"Manhattan";"Hell's Kitchen";224;1575
"231";69;"Private room";1;4,91;"Queens";"Flushing";13;103
"232";70;"Private room";3;0,09;"Manhattan";"Harlem";153;1033
"233";119;"Entire home/apt";3;2,43;"Brooklyn";"Bedford-Stuyvesant";121;1656
"234";55;"Private room";5;NA;"Brooklyn";"Greenpoint";131;2368
"235";69;"Entire home/apt";5;0,1;"Queens";"Rego Park";16;252
"236";55;"Entire home/apt";20;NA;"Queens";"Ridgewood";54;1304
"237";225;"Entire home/apt";4;0,17;"Manhattan";"Upper East Side";75;1491
"238";90;"Private room";3;3,79;"Brooklyn";"Williamsburg";219;2422
"239";148;"Entire home/apt";3;3,22;"Brooklyn";"Bushwick";66;1158
"240";250;"Entire home/apt";30;NA;"Manhattan";"Upper East Side";111;1564
"241";32;"Shared room";2;0,16;"Bronx";"Kingsbridge";7;100
"242";100;"Entire home/apt";2;4,95;"Brooklyn";"Bensonhurst";6;190
"243";55;"Private room";1;3,11;"Queens";"Ditmars Steinway";5;366
"244";150;"Private room";2;0,05;"Manhattan";"Lower East Side";263;2155
"245";130;"Entire home/apt";2;0,15;"Brooklyn";"Windsor Terrace";41;926
"246";145;"Entire home/apt";3;0,64;"Bronx";"Mott Haven";7;756
"247";250;"Entire home/apt";4;0,35;"Manhattan";"Chelsea";134;1717
"248";175;"Entire home/apt";2;0,97;"Queens";"Laurelton";2;56
"249";95;"Private room";4;0,02;"Brooklyn";"Greenpoint";106;2364
"250";200;"Entire home/apt";3;0,13;"Manhattan";"Civic Center";118;1551
"251";30;"Private room";5;0,33;"Brooklyn";"Crown Heights";121;1741
"252";195;"Entire home/apt";3;2,59;"Queens";"Long Island City";22;1414
"253";200;"Entire home/apt";1;0,08;"Brooklyn";"Park Slope";69;1176
"254";190;"Entire home/apt";2;NA;"Brooklyn";"Bay Ridge";15;192
"255";120;"Entire home/apt";5;NA;"Brooklyn";"Prospect-Lefferts Gardens";69;1203
"256";95;"Entire home/apt";5;0,05;"Manhattan";"Washington Heights";46;461
"257";150;"Entire home/apt";4;1;"Manhattan";"Lower East Side";251;2103
"258";187;"Entire home/apt";29;0,71;"Manhattan";"Financial District";110;1597
"259";95;"Private room";3;NA;"Manhattan";"Hell's Kitchen";185;1544
"260";89;"Private room";1;NA;"Queens";"Woodside";25;655
"261";60;"Private room";2;0,61;"Manhattan";"Harlem";85;728
"262";202;"Entire home/apt";3;1,1;"Manhattan";"Harlem";125;703
"263";134;"Entire home/apt";15;1;"Manhattan";"Financial District";78;1176
"264";220;"Entire home/apt";5;NA;"Manhattan";"Upper East Side";123;1474
"265";70;"Entire home/apt";30;0,42;"Brooklyn";"Bedford-Stuyvesant";151;1876
"266";75;"Private room";3;1;"Brooklyn";"Williamsburg";148;1892
"267";220;"Entire home/apt";3;0,16;"Manhattan";"Upper West Side";75;1269
"268";150;"Entire home/apt";2;0,04;"Brooklyn";"Crown Heights";113;1630
"269";69;"Private room";1;1,7;"Bronx";"Kingsbridge";3;145
"270";200;"Entire home/apt";1;0,78;"Manhattan";"Chelsea";140;1706
"271";40;"Entire home/apt";10;0,11;"Queens";"Kew Gardens Hills";1;148
"272";250;"Entire home/apt";4;0,03;"Manhattan";"Upper West Side";74;1297
"273";175;"Entire home/apt";1;0,05;"Manhattan";"East Village";290;2063
"274";80;"Private room";3;0,14;"Manhattan";"East Village";299;2202
"275";50;"Private room";31;NA;"Brooklyn";"Sunset Park";51;906
"276";95;"Private room";2;3,33;"Manhattan";"Midtown";114;1932
"277";102;"Entire home/apt";1;4,19;"Bronx";"Pelham Gardens";1;54
"278";99;"Entire home/apt";180;0,12;"Brooklyn";"Crown Heights";137;1823
"279";49;"Private room";1;NA;"Manhattan";"Harlem";129;784
"280";125;"Entire home/apt";2;0,05;"Brooklyn";"DUMBO";12;2116
"281";70;"Private room";2;0,11;"Manhattan";"Nolita";306;2054
"282";55;"Private room";3;2;"Queens";"East Elmhurst";14;315
"283";40;"Private room";30;NA;"Brooklyn";"Williamsburg";154;2128
"284";70;"Private room";7;0,28;"Manhattan";"Financial District";92;1835
"285";85;"Entire home/apt";2;1,76;"Bronx";"City Island";0;10
"286";1000;"Entire home/apt";7;NA;"Manhattan";"Tribeca";61;1524
"287";99;"Private room";3;0,56;"Manhattan";"Lower East Side";299;2165
"288";200;"Entire home/apt";2;0,55;"Manhattan";"Greenwich Village";175;1769
"289";175;"Entire home/apt";2;4,06;"Brooklyn";"Bushwick";172;1733
"290";135;"Entire home/apt";2;0,04;"Manhattan";"Hell's Kitchen";203;1521
"291";39;"Private room";1;NA;"Brooklyn";"Crown Heights";117;1733
"292";245;"Entire home/apt";2;2,27;"Manhattan";"West Village";147;1595
"293";54;"Private room";6;0,65;"Brooklyn";"Crown Heights";33;1338
"294";179;"Entire home/apt";29;NA;"Manhattan";"Financial District";97;1630
"295";92;"Entire home/apt";2;1,23;"Brooklyn";"Canarsie";6;305
"296";47;"Private room";4;1,19;"Brooklyn";"East Flatbush";7;549
"297";120;"Entire home/apt";3;1,39;"Manhattan";"Washington Heights";42;387
"298";150;"Entire home/apt";4;0,29;"Manhattan";"Gramercy";157;2035
"299";150;"Private room";20;0,11;"Manhattan";"Kips Bay";144;2095
"300";110;"Private room";1;0,45;"Manhattan";"Harlem";114;758
"301";75;"Private room";4;NA;"Manhattan";"Murray Hill";173;1991
"302";194;"Entire home/apt";1;NA;"Manhattan";"SoHo";174;1779
"303";699;"Entire home/apt";29;NA;"Manhattan";"Financial District";98;1592
"304";400;"Entire home/apt";1;NA;"Manhattan";"Upper East Side";62;1444
"305";72;"Private room";2;4,74;"Brooklyn";"Bedford-Stuyvesant";137;2222
"306";68;"Private room";2;NA;"Bronx";"Eastchester";5;44
"307";89;"Private room";1;3,81;"Brooklyn";"Williamsburg";245;2525
"308";80;"Private room";3;1,5;"Queens";"Astoria";47;718
"309";285;"Entire home/apt";1;0,39;"Brooklyn";"Williamsburg";286;2537
"310";50;"Private room";2;1,98;"Queens";"Flushing";20;103
"311";75;"Private room";1;0,21;"Manhattan";"East Village";215;2214
"312";80;"Private room";15;NA;"Queens";"Ozone Park";4;124
"313";142;"Entire home/apt";10;1,04;"Manhattan";"East Village";291;2123
"314";399;"Entire home/apt";3;0,31;"Brooklyn";"South Slope";68;1055
"315";55;"Private room";1;4,44;"Queens";"Fresh Meadows";6;96
"316";110;"Entire home/apt";5;0,17;"Brooklyn";"Bushwick";173;1614
"317";100;"Private room";2;3;"Manhattan";"East Village";314;2082
"318";70;"Private room";1;0,38;"Manhattan";"Harlem";105;693
"319";225;"Entire home/apt";1;1,16;"Manhattan";"Murray Hill";173;1996
"320";133;"Entire home/apt";28;0,52;"Brooklyn";"Fort Greene";110;2184
"321";89;"Entire home/apt";2;2,26;"Brooklyn";"Bay Ridge";8;133
"322";90;"Private room";3;0,25;"Manhattan";"Upper East Side";106;1885
"323";44;"Private room";28;0,39;"Queens";"Long Island City";59;1020
"324";200;"Entire home/apt";1;NA;"Manhattan";"Upper West Side";119;1133
"325";199;"Entire home/apt";3;0,07;"Manhattan";"Hell's Kitchen";219;1643
"326";70;"Private room";1;NA;"Brooklyn";"Bushwick";176;1719
"327";117;"Entire home/apt";30;NA;"Manhattan";"Upper West Side";62;1314
"328";140;"Private room";3;1,69;"Manhattan";"Washington Heights";86;631
"329";226;"Entire home/apt";2;0,58;"Manhattan";"Gramercy";184;2077
"330";50;"Private room";3;0,13;"Manhattan";"Washington Heights";50;427
"331";60;"Private room";20;0,39;"Brooklyn";"Crown Heights";74;1613
"332";80;"Private room";1;2,08;"Brooklyn";"Williamsburg";89;2490
"333";225;"Entire home/apt";7;0,04;"Brooklyn";"Greenpoint";101;2307
"334";80;"Entire home/apt";4;0,05;"Manhattan";"Washington Heights";86;626
"335";50;"Entire home/apt";3;0,03;"Manhattan";"Harlem";70;748
"336";58;"Private room";4;1,69;"Manhattan";"East Village";190;2311
"337";90;"Private room";30;0,23;"Brooklyn";"Clinton Hill";91;2374
"338";68;"Private room";30;0,65;"Manhattan";"Harlem";143;907
"339";40;"Private room";3;2,31;"Brooklyn";"Canarsie";6;103
"340";40;"Private room";1;6,77;"Brooklyn";"Crown Heights";92;1558
"341";195;"Private room";1;0,35;"Queens";"Breezy Point";2;2
"342";65;"Private room";1;0,11;"Brooklyn";"Williamsburg";266;2541
"343";49;"Private room";3;0,1;"Brooklyn";"Greenpoint";69;2376
"344";50;"Entire home/apt";3;2,02;"Brooklyn";"Cypress Hills";7;492
"345";80;"Entire home/apt";3;1,55;"Manhattan";"Washington Heights";65;557
"346";50;"Private room";30;NA;"Brooklyn";"Sheepshead Bay";5;61
"347";100;"Entire home/apt";8;0,25;"Brooklyn";"Williamsburg";198;2174
"348";200;"Entire home/apt";15;0,12;"Brooklyn";"Greenpoint";86;2430
"349";49;"Private room";7;0,46;"Manhattan";"Washington Heights";50;420
"350";110;"Entire home/apt";3;1,62;"Manhattan";"Upper East Side";91;1398
"351";280;"Entire home/apt";3;0,39;"Manhattan";"Hell's Kitchen";201;1592
"352";120;"Entire home/apt";3;0,05;"Brooklyn";"Boerum Hill";92;1934
"353";215;"Entire home/apt";30;NA;"Manhattan";"Midtown";154;1745
"354";130;"Entire home/apt";1;2,34;"Brooklyn";"Prospect-Lefferts Gardens";74;1171
"355";55;"Entire home/apt";14;0,05;"Manhattan";"Harlem";125;680
"356";1100;"Entire home/apt";3;NA;"Manhattan";"Chelsea";166;1921
"357";110;"Entire home/apt";2;0,44;"Brooklyn";"Bedford-Stuyvesant";99;2346
"358";65;"Private room";2;0,27;"Brooklyn";"Bedford-Stuyvesant";139;2214
"359";80;"Private room";1;NA;"Manhattan";"Upper West Side";121;1116
"360";65;"Private room";7;0,14;"Manhattan";"Harlem";75;698
"361";295;"Entire home/apt";1;NA;"Manhattan";"Upper West Side";64;1294
"362";200;"Entire home/apt";3;1,52;"Brooklyn";"Greenpoint";158;2400
"363";50;"Private room";21;0,76;"Queens";"Ridgewood";36;1217
"364";60;"Private room";3;NA;"Brooklyn";"Williamsburg";153;2078
"365";60;"Shared room";1;0,09;"Bronx";"Concourse Village";14;577
"366";35;"Private room";1;9,08;"Queens";"East Elmhurst";12;284
"367";60;"Private room";3;0,09;"Brooklyn";"Bushwick";113;1463
"368";250;"Private room";3;0,24;"Manhattan";"Washington Heights";40;443
"369";69;"Entire home/apt";3;0,88;"Brooklyn";"Dyker Heights";5;156
"370";125;"Entire home/apt";2;4,92;"Brooklyn";"Flatlands";5;278
